# 20250708T1327
# N=137
# group hprc: N=106
# group hgsvc: N=29
# group REF: N=2
sample	sample_sex	sample_group	input_path
HG01505	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG01505_chrY.fa.gz
HG01530	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01530_chrY.fa.gz
HG01596	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG01596_chrY.fa.gz
HG01890	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG01890_chrY.fa.gz
HG01928	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01928_chrY.fa.gz
HG01934	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01934_chrY.fa.gz
HG01943	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01943_chrY.fa.gz
HG01952	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG01952_chrY.fa.gz
HG02011	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG02011_chrY.fa.gz
HG02015	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02015_chrY.fa.gz
HG02027	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02027_chrY.fa.gz
HG02040	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02040_chrY.fa.gz
HG02055	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02055_chrY.fa.gz
HG02056	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02056_chrY.fa.gz
HG02071	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02071_chrY.fa.gz
HG02074	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02074_chrY.fa.gz
HG02083	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02083_chrY.fa.gz
HG02129	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02129_chrY.fa.gz
HG02132	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02132_chrY.fa.gz
HG02135	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02135_chrY.fa.gz
HG02145	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02145_chrY.fa.gz
HG02258	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02258_chrY.fa.gz
HG02391	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02391_chrY.fa.gz
HG02392	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02392_chrY.fa.gz
HG02486	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02486_chrY.fa.gz
HG02492	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG02492_chrY.fa.gz
HG02514	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02514_chrY.fa.gz
HG02554	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG02554_chrY.fa.gz
HG02572	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02572_chrY.fa.gz
HG02602	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02602_chrY.fa.gz
HG02647	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02647_chrY.fa.gz
HG02666	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG02666_chrY.fa.gz
HG02668	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02668_chrY.fa.gz
HG02698	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02698_chrY.fa.gz
HG02717	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02717_chrY.fa.gz
HG02735	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02735_chrY.fa.gz
HG02738	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02738_chrY.fa.gz
HG02953	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG02953_chrY.fa.gz
HG02965	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02965_chrY.fa.gz
HG02984	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG02984_chrY.fa.gz
HG03009	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG03009_chrY.fa.gz
HG03017	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG03017_chrY.fa.gz
HG03050	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG03050_chrY.fa.gz
HG03065	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG03065_chrY.fa.gz
HG03098	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG03098_chrY.fa.gz
HG03130	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG03130_chrY.fa.gz
HG03139	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG03139_chrY.fa.gz
HG03209	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG03209_chrY.fa.gz
HG03225	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG03225_chrY.fa.gz
HG03248	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG03248_chrY.fa.gz
HG03371	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG03371_chrY.fa.gz
HG03456	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG03456_chrY.fa.gz
HG03471	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG03471_chrY.fa.gz
HG03492	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG03492_chrY.fa.gz
HG03521	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG03521_chrY.fa.gz
HG03579	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG03579_chrY.fa.gz
HG03654	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG03654_chrY.fa.gz
HG03688	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG03688_chrY.fa.gz
HG03710	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG03710_chrY.fa.gz
HG03732	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/HG03732_chrY.fa.gz
HG03742	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG03742_chrY.fa.gz
HG03942	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG03942_chrY.fa.gz
HG04115	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG04115_chrY.fa.gz
HG04157	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG04157_chrY.fa.gz
HG04160	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG04160_chrY.fa.gz
HG04187	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG04187_chrY.fa.gz
HG04199	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG04199_chrY.fa.gz
HG04204	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG04204_chrY.fa.gz
HG04228	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/HG04228_chrY.fa.gz
NA18522	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/NA18522_chrY.fa.gz
NA18534	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/NA18534_chrY.fa.gz
NA18608	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/NA18608_chrY.fa.gz
NA18612	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/NA18612_chrY.fa.gz
NA18620	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/NA18620_chrY.fa.gz
NA18747	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/NA18747_chrY.fa.gz
NA18879	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/NA18879_chrY.fa.gz
NA18952	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/NA18952_chrY.fa.gz
NA18971	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/NA18971_chrY.fa.gz
NA18974	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/NA18974_chrY.fa.gz
NA18983	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/NA18983_chrY.fa.gz
NA18989	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/NA18989_chrY.fa.gz
NA19043	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/NA19043_chrY.fa.gz
NA19239	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/NA19239_chrY.fa.gz
NA19317	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/NA19317_chrY.fa.gz
NA19331	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/NA19331_chrY.fa.gz
NA19347	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/NA19347_chrY.fa.gz
NA19384	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/NA19384_chrY.fa.gz
NA19443	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/NA19443_chrY.fa.gz
NA19650	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/NA19650_chrY.fa.gz
NA19682	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/NA19682_chrY.fa.gz
NA19700	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/NA19700_chrY.fa.gz
NA19705	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/NA19705_chrY.fa.gz
NA20346	male	hprc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/v2/chrY_assemblies/NA20346_chrY.fa.gz
NA20509	male	hgsvc	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/verkko-v2.2.1-release2_chrY_ARhie/hgsvc/v1/chrY_assemblies/NA20509_chrY.fa.gz
