1_Sample metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM sample ID,sample ID with alternative,sample_sex,Population,Super population,Father or son ID (if inlcuded in Y project),assembly_type,Dataset,hg_short,haplogroup_ISOGG_v15.73,haplogroup_yHaplo_term_marker,Y_known_SVs_Teitz-2018,study_generation,Comment,AZFc_region_structure,Comment2,Inversions/rearrangements,hifiCov,ontCov_total,ontCov_over100Kb,hicCov,Arang_comments,T2T?,Tel,Gaps,NumUnplaced,TelSeqSum,TotalBPs
HG02965,HG02965,male,ESN,AFR,,vrk-hic,HPRC,E1b1a,E1b1a1a1a1c1a1a,P252,NA,2025,,hg38-like,,,64.606,171.775,48.445,53.28,,,pq,3,24,"22,020","51,569,070"
HG02486,HG02486,male,ACB,AFR,,vrk-thc,HPRC,E1b1a,E1b1a1a1a1c1a1a_father,P252,ref,2023,Father's Illumina (HG02484) used for phylogeny,T2T-like,,,64.077,137.031,30.187,44.85,,T2T_scaff,pq,1,0,"15,442","56,352,170"
HG03139,HG03139,male,ESN,AFR,,vrk-hic,HPRC,E1b1a,E1b1a1a1a1c1a1a3a1,CTS8030,ref,2025,,hg38-like,,,61.507,139.007,32.064,63.75,,T2T_scaff,pq,1,0,"18,361","56,334,722"
NA19317,NA19317,male,LWK,AFR,,?,HGSVC3,E1b1a,E1b1a1a1a1c1a1a3a1,CTS8030,ref,2024,,hg38-like,,,63.459,158.814,50.204,50.08,manual,1 gap in Yqh2 but has 1 unplaced in AMPL and a second PAR2,2,2,4,,"47,430,706"
NA19347,NA19347,male,LWK,AFR,,?,HGSVC3,E1b1a,E1b1a1a1a1c1a1a3a1,CTS8030,ref,2024,,fragmented,,,97.897,179.959,52.726,48.64,manual,1 gap in AMPL but 2 unplaced. 1 gap in Yqh,2,2,5,,"54,243,643"
NA19443,NA19443,male,LWK,AFR,,vrk-hic,HPRC,E1b1a,E1b1a1a1a1c1a1a3a1,CTS8030,ref,2025,,hg38-like,,,62.845,158.402,32.489,54.51,,,pq,3,6,"9,872","56,618,180"
HG03371,HG03371,male,ESN,AFR,,?,HGSVC3,E1b1a,E1b1a1a1a1c1a1a3c1b,CTS1313,NA,2024,,hg38-like,,,82.346,155.268,54.134,43.11,thic,has 22 gaps in Yqh; 8+ unplaced in Yqh (hi-c also has 22 gaps),2,22,37,,"55,674,668"
HG02011,HG02011,male,ACB,AFR,,?,HGSVC3,E1b1a,E1b1a1a1a1c1b,M263.2,NA,2024,,hg38-like,,,75.835,152.008,47.404,33.9,manual,T2T contig,2,1,0,,"52,064,748"
HG02717,HG02717,male,GWD,AFR,,vrk-thc,HPRC,E1b1a,E1b1a1a1a1c2c3a2a,Z6018,NA,2023,,hg38-like,,,81.547,264.611,69.644,85.39,,T2T contig,pq,0,0,"11,423","55,008,772"
NA20346,NA20346,male,ASW,AFR,,vrk-hic,HPRC,E1b1a,E1b1a1a1a2a,U175,ref,2025,,hg38-like,,,60.136,185.633,32.135,24,,,pq,2,8,"10,547","58,028,126"
HG02145,HG02145,male,ACB,AFR,,vrk-hic,HPRC,E1b1a,E1b1a1a1a2a1,M4254,NA,2025,,fragmented,mis-ASM,,81.088,257.024,59.954,36.69,,,,9,30,0,"27,352,727"
HG02258,HG02258,male,ACB,AFR,,vrk-hic,HPRC,E1b1a,E1b1a1a1a2a1,M4254,NA,2025,,hg38-like,P3 mis-ASM?,,62.584,128.617,33.673,35.6,,,pq,3,5,"13,594","53,175,086"
HG02554,HG02554,male,ACB,AFR,,?,HGSVC3,E1b1a,E1b1a1a1a2a1,M4254,ref,2024,,hg38-like,,,75.284,175.964,43.486,49.62,hi-c,1 gap and 1 unplaced from AMPL,2,1,1,,"54,600,990"
HG02953,HG02953,male,ESN,AFR,,?,HGSVC3,E1b1a,E1b1a1a1a2a1,M4254,ref,2024,,hg38-like,,,79.44,144.859,42.135,72.26,hi-c,1 gap and 1 unplaced from AMPL,2,2,3,,"52,156,227"
HG03130,HG03130,male,ESN,AFR,,vrk-hic,HPRC,E1b1a,E1b1a1a1a2a1,M4254,ref,2025,,hg38-like,,,64.06,132.693,25.987,64.48,,,pq,3,21,"13,486","45,973,227"
HG03521,HG03521,male,ESN,AFR,,vrk-hic,HPRC,E1b1a,E1b1a1a1a2a1,M4254,ref,2025,,hg38-like,,,67.306,195.777,41.817,18.13,,,pq,2,9,"10,534","54,854,231"
NA18879,NA18879,male,YRI,AFR,,vrk-hic,HPRC,E1b1a,E1b1a1a1a2a1,M4254,ref,2025,,hg38-like,,,63.67,123.835,26.688,21.53,,,pq,1,2,"12,131","49,516,307"
HG02055,HG02055,male,ACB,AFR,,vrk-thc,HPRC,E1b1a,E1b1a1a1a2a1a3b1a,U290,NA,2025,,hg38-like,,,83.312,514.397,110.096,31.95,,,pq,2,1,"8,667","54,128,122"
HG03209,HG03209,male,MSL,AFR,,vrk-hic,HPRC,E1b1a,E1b1a1a1a2a1a3b1a,U290,ref,2025,,hg38-like,,,63.055,169.947,38.703,70.16,,,q,2,10,"11,837","54,733,247"
NA18522,NA18522,male,YRI,AFR,,vrk-hic,HPRC,E1b1a,E1b1a1a1a2a1a3b1a,U290,ref,2025,,hg38-like,,,66.789,168.948,40.262,74.43,,T2T contig,pq,0,0,"16,420","55,643,761"
NA19700,NA19700,male,ASW,AFR,,vrk-hic,HPRC,E1b1a,E1b1a1a1a2a1a3b1a,U290,ref,2025,,hg38-like,,,60.612,170.007,50.185,42.69,,,pq,2,3,"21,514","54,962,076"
NA19705,NA19705,male,ASW,AFR,,?,HGSVC3,E1b1a,E1b1a1a1a2a1a3b1a1,U181,NA,2024,,hg38-like,,,81.028,182.196,61.627,36.05,manual,T2T contig,2,0,0,,"53,625,916"
HG03065,HG03065,male,MSL,AFR,,?,HGSVC3,E1b1a,E1b1a1b1,Z22132,NA,2024,,AZFc_dupl,,6 DAZ,71.672,204.831,60.73,24.36,manual,T2T contig,2,0,0,,"63,419,605"
HG01074,HG01074,male,PUR,AMR,,vrk-hic,HPRC,E1b1b,E1b1b1a1b1a,V13,NA,2025,,hg38-like,,,64.114,190.52,47.176,33.32,,T2T contig,pq,0,0,"18,893","51,860,611"
HG01109,HG01109,male,PUR,AMR,,vrk-thc,HPRC,E1b1b,E1b1b1a1b1a,V13,NA,2023,,hg38-like,,,41.375,291.992,34.199,23.75,,,pq,1,4,"14,200","49,329,991"
HG01106,HG01106,male,PUR,AMR,,vrk-thc,HPRC,E1b1b,E1b1b1b1a1,M183,NA,2023,,T2T-like,,,56.294,156.622,31.567,73.48,,,pq,2,3,"21,182","65,541,351"
HG01252,HG01252,male,CLM,AMR,,vrk-thc,HPRC,E1b1b,E1b1b1b2a1a1,L29,NA,2025,,hg38-like,,,58.199,108.993,21.795,88.6,,T2T_scaff,pq,1,0,"14,219","56,573,349"
HG01457,HG01457,male,CLM,AMR,,?,HGSVC3,E1b1b,E1b1b1b2a1a4,L791,NA,2024,,hg38-like,,,58.584,160.373,59.12,45.35,manual,1 gap in cen 1 gap in Yqh; 4 unplaced Yqh,2,2,7,,"51,813,559"
NA19331,NA19331,male,LWK,AFR,,?,HGSVC3,E1b1b,E1b1b1b2b2a1,M293,ref,2024,,hg38-like,,IR3_inv,66.345,145.306,55.338,47.25,hi-c,T2T contig,2,0,0,,"65,565,127"
HG02040,HG02040,male,KHV,EAS,,vrk-hic,HPRC,F,F,M89,ref,2025,,hg38-like,,IR3_inv,64.495,196.323,45.088,49.16,,,pq,1,1,"2,984","65,111,095"
NA20870,NA20870,male,GIH,SAS,,vrk-hic,HPRC,G1,G1a1a1b,Z3313,ref,2025,,hg38-like,,IR3_inv,70.281,171.552,31.91,70.88,,T2T contig,pq,0,0,"12,738","48,476,143"
HG03710,HG03710,male,PJL,SAS,,vrk-hic,HPRC,G2,G2a1a2a,Z17775,NA,2025,,hg38-like,P3 mis-ASM?,,76.724,146.731,27.836,62.94,,,pq,2,6,"24,027","44,618,133"
HG01099,HG01099,male,PUR,AMR,,vrk-hic,HPRC,G2,G2a2b2a1a1b1a1b,FGC477,NA,2025,,fragmented,???,,64.305,153.312,27.121,195.28,,,pq,1,3,"23,766","47,743,209"
HG03579,HG03579,male,MSL,AFR,,vrk-hic,HPRC,G2,G2a2b2a1a1c1a1a2a1,Z6523,NA,2023,,hg38-like,,,84.456,233.74,59.484,83,,T2T contig,pq,0,0,"12,115","57,241,464"
HG03942,HG03942,male,BEB,SAS,,vrk-thc,HPRC,H1,H1a1a4b2,M2853,NA,2025,,fragmented,,,64.177,113.042,17.612,40.72,,,pq,2,4,"16,719","49,026,361"
HG04187,HG04187,male,BEB,SAS,,vrk-thc,HPRC,H1,H1a1a4b2a1,Z5877,NA,2025,,fragmented,,,67.163,105.297,19.242,38.75,,,pq,5,5,"12,921","47,534,246"
HG03009,HG03009,male,BEB,SAS,,?,HGSVC3,H1,H1a1a4b2c1a1a,Z5884,ref,2024,,hg38-like,,,74.331,195.641,60.933,49,manual,T2T contig,2,0,0,,"58,667,461"
NA21093,NA21093,male,GIH,SAS,,vrk-hic,HPRC,H1,H1a1b1a,Z4417,P4_dupl,2025,,hg38-like,,,62.561,214.956,42.114,47.92,,,pq,1,7,"13,628","52,363,613"
HG00140,HG00140,male,GBR,EUR,,vrk-hic,HPRC,I1,I1,M253,ref,2025,,fragmented,,IR3_inv,60.621,171.414,37.671,125.94,,,pq,2,4,"17,021","66,516,581"
HG00321,HG00321,male,FIN,EUR,,vrk-hic,HPRC,I1,I1a1b1a4a1a1,L258,ref,2025,,fragmented,,IR3_inv,61.119,168.345,31.534,79.19,,,pq,2,16,"12,460","45,747,808"
HG01167,HG01167,male,PUR,AMR,,vrk-hic,HPRC,I2,I2a1a1a,M26,ref,2025,,hg38-like,,,62.492,172.169,44.485,14.15,,T2T contig,pq,0,0,"6,361","61,607,448"
HG01255,HG01255,male,CLM,AMR,,vrk-hic,HPRC,J1,J1,M267,NA,2025,,T2T-like,,,70.18,172.146,31.107,102.32,,T2T_scaff,pq,1,0,"32,474","50,892,274"
HG01258,HG01258,male,CLM,AMR,,vrk-thc,HPRC,J1,J1,M267,NA,2023,,T2T-like,,largest TSPY,59.043,126.199,33.726,73.92,,T2T contig,pq,0,0,"10,334","51,107,038"
HG01433,HG01433,male,CLM,AMR,,vrk-thc,HPRC,J1,J1a2a1a2,P58,NA,2025,,fragmented,,,68.023,166.069,22.991,127.09,,,pq,3,17,"18,285","64,335,207"
HG002,NA24385/HG002,male,ASK,EUR,,vrk-thc,T2T,J1,J1a2a1a2c1a1,L816,NA,2023,,T2T-like,,include,59.992,197.538,39.133,51.83,,T2T contig,pq,0,0,"11,624","62,412,247"
HG003,NA24149/HG003,male,ASK,EUR,,,T2T?,J1,J1a2a1a2c1a1,L816,NA,2025,,fragmented,,,128.453,76.4398,8.13717,42.1366,,,pq,2,18,"13,873","59,253,811"
HG02735,HG02735,male,PJL,SAS,,vrk-hic,HPRC,J2a,J2a1a,L26,NA,2025,,fragmented,,,64.663,125.649,25.035,28.28,,,pq,3,4,"18,664","52,948,190"
HG02492,HG02492,male,PJL,SAS,,?,HGSVC3,J2a,J2a1a1a2a2b,M47,NA,2024,,T2T-like,,,71.648,161.27,46.269,30.38,thic,T2T contig,2,0,0,,"51,490,179"
NA20805,NA20805,male,TSI,EUR,,vrk-hic,HPRC,J2a,J2a1a1b2a1b1,L70,ref,2025,,fragmented,,IR3_inv,58.241,113.687,25.854,56.89,,,pq,4,8,"12,855","47,008,110"
NA20809,NA20809,male,TSI,EUR,,vrk-hic,HPRC,J2a,J2a1a1b2a1b1,L70,ref,2025,,fragmented,,IR3_inv,59.17,155.066,31.501,20.25,,,pq,2,15,"7,587","46,382,798"
NA20905,NA20905,male,GIH,SAS,,vrk-hic,HPRC,J2b,J2b2a,M241,ref,2025,,IR1 INV,,pq-inv,61.232,135.968,29.894,35.48,,,pq,1,2,"18,475","49,448,154"
HG03688,HG03688,male,STU,SAS,,vrk-hic,HPRC,L1,L1a1,M27,NA,2025,,T2T-like,,,61.942,169.411,33.651,111.11,,T2T_scaff,pq,1,0,"21,562","59,904,468"
HG04199,HG04199,male,STU,SAS,,vrk-hic,HPRC,L1,L1a1,M27,NA,2025,,T2T-like,,,67.573,136.621,25.758,108.03,,,pq,3,3,"17,278","54,872,857"
HG00280,HG00280,male,FIN,EUR,,vrk-hic,HPRC,N1,N1a1a1a1a1a,CTS2929,b2/b3_plus_dupl,2025,,b2/b3-del,P3 mis-ASM?,b2/b3-del,66.819,131.223,27.252,107,,,pq,4,5,"26,349","55,936,568"
HG00329,HG00329,male,FIN,EUR,,vrk-hic,HPRC,N1,N1a1a1a1a2a1a1a,CTS1737,b2/b3_del,2025,,b2/b3-del,,b2/b3-del,62.166,188.267,33.582,29.59,,,pq,3,7,"12,329","56,090,397"
HG00290,HG00290,male,FIN,EUR,,vrk-hic,HPRC,N1,N1a1a1a1a2a1a1a1a1a,Z1940,b2/b3_del,2025,,b2/b3-del,,b2/b3-del,63.25,215.223,46.199,54.7,,T2T contig,pq,0,0,"15,226","58,868,509"
HG00358,HG00358,male,FIN,EUR,,?,HGSVC3,N1,N1a1a1a1a2a1a1a1a1a,Z1940,b2/b3_P7-arm-dupl,2024,,b2/b3-del,,b2/b3-del,69.299,162.959,59.549,54.66,manual,T2T contig,2,0,0,,"58,911,361"
NA18608,NA18608,male,CHB,EAS,,vrk-hic,HPRC,N1,N1a2b2a1c~,L665,b2/b3_del_plus_dupl,2025,,b2/b3-del_plus_dupl,,b2/b3-del_plus_dupl,61.6,188.868,48.205,35.02,,T2T contig,pq,0,0,"17,566","55,818,994"
NA18747,NA18747,male,CHB,EAS,,vrk-hic,HPRC,N1,N1a2b2a1c~,L665,b2/b3_del,2025,,b2/b3-del,,,61.597,178.077,41.184,71.04,,T2T_scaff,pq,1,0,"20,947","55,770,459"
HG03742,HG03742,male,ITU,SAS,,vrk-hic,HPRC,NO,NO[K2a],M2313,ref,2025,,hg38-like,P3 mis-ASM?,IR3_inv,63.14,136.326,29.926,69.9,,,pq,3,14,"6,519","61,238,148"
HG02015,HG02015,male,KHV,EAS,,vrk-thc,HPRC,O1a,O1a1a1b1b,Z23392,NA,2025,,fragmented,,IR3_inv,57.548,87.649,23.216,17.98,,,pq,18,84,"19,569","38,619,282"
HG02514,HG02514,male,KHV,EAS,,vrk-hic,HPRC,O1b,O1b1a1a1a1a1a1a1a1a1,F1399,NA,2025,,T2T-like,,,57.816,161.524,41.777,118.32,,T2T contig,pq,0,0,"21,292","75,184,911"
HG02083,HG02083,male,KHV,EAS,,vrk-thc,HPRC,O1b,O1b1a1a1a1a1b2,Z24014,NA,2025,,T2T-like,,,64.997,170.817,33.096,95.31,,,pq,7,12,"22,441","71,487,452"
NA18534,NA18534,male,CHB,EAS,,?,HGSVC3,O1b,O1b1a2b1a,F1127,ref,2024,,hg38-like,P3 mis-ASM?,,80.1,153.001,49.975,58.65,hi-c,1 gap in AMPL 1 gap in Yqh. Missing PAR2,p,2,5,,"77,637,201"
HG02074,HG02074,male,KHV,EAS,,vrk-thc,HPRC,O1b,O1b1a2c,CTS9996,NA,2025,,hg38-like,,,73.333,156.329,21.021,31.47,,,pq,1,1,"11,303","54,379,215"
HG02027,HG02027,male,KHV,EAS,,vrk-thc,HPRC,O2a1,O2a1a1a,Page124,NA,2025,,T2T-like,,,67.676,121.129,19.519,128.49,,,pq,1,1,"14,567","67,671,062"
HG00609,HG00609,male,CHS,EAS,,vrk-hic,HPRC,O2a1,O2a1b1a1a1a,F11,NA,2025,,hg38-like,,,69.031,194.959,33.332,63.25,,T2T contig,pq,0,0,"14,585","71,946,244"
HG01596,HG01596,male,KHV,EAS,,?,HGSVC3,O2a1,O2a1b1a1a1a1c,F12,ref,2024,,hg38-like,,,80.689,100.891,32.156,30.46,manual,T2T contig,2,0,0,,"69,976,226"
HG02392,HG02392,male,CDX,EAS,,vrk-hic,HPRC,O2a1,O2a1b2,SK1673,ref,2025,,hg38-like,,IR3_inv,62.107,193.873,51.254,50.16,,T2T contig,pq,0,0,"9,524","50,273,937"
HG00658,HG00658,male,CHS,EAS,,vrk-thc,HPRC,O2a2a,O2a2a1a1a,M159,NA,2025,,fragmented,,,68.371,167.891,41.695,64.29,,,pq,6,38,"15,589","54,486,758"
HG00673,HG00673,male,CHS,EAS,,vrk-hic,HPRC,O2a2a,O2a2a1a1a,M159,NA,2023,,fragmented,,,61.131,137.896,28.156,98.56,,,pq,2,38,"15,709","48,804,764"
HG00706,HG00706,male,CHS,EAS,,vrk-hic,HPRC,O2a2a,O2a2a1a1a,M159,NA,2025,,T2T-like,,,61.052,156.558,27.53,168.38,,,pq,3,23,"13,919","53,350,410"
HG02071,HG02071,male,KHV,EAS,,vrk-thc,HPRC,O2a2a,O2a2a1a2a1a1,F1275,NA,2025,,hg38-like,,,62.622,162.32,23.343,152.99,,,pq,1,12,"19,100","52,260,275"
HG02129,HG02129,male,KHV,EAS,,vrk-hic,HPRC,O2a2a,O2a2a1a2a1b,F1863,NA,2025,,gr/gr-del,,gr/gr-del,61.227,97.136,20.396,99.61,,,pq,1,1,"10,634","61,212,428"
HG02135,HG02135,male,KHV,EAS,,vrk-thc,HPRC,O2a2a,O2a2a1a2a1b,F1863,NA,2025,,gr/gr-del (fragm),,gr/gr-del,62.226,166.536,30.723,118.57,,,pq,1,1,"24,190","60,471,768"
HG00621,HG00621,male,CHS,EAS,,vrk-thc,HPRC,O2a2b,O2a2b1a1a1,F8,NA,2023,,hg38-like,,,58.4,155.384,35.009,95.84,,T2T contig,pq,0,0,"23,025","50,449,105"
HG02391,HG02391,male,CDX,EAS,,vrk-hic,HPRC,O2a2b,O2a2b1a1a1,F8,ref,2025,,hg38-like,,,58.608,120.953,27.932,71.71,,,pq,1,1,"16,097","49,213,589"
HG00512,HG00512,male,CHS,EAS,,?,HGSVC3,O2a2b,O2a2b1a2a1a,F46,NA,2024,,hg38-like,,Largest Yq12,70.301,107.568,36.174,41.21,manual,T2T contig,,,,,"81,719,894"
HG02056,HG02056,male,KHV,EAS,,vrk-thc,HPRC,O2a2b,O2a2b1a2a1a,F46,NA,2025,,hg38-like,,,65.583,114.289,24.647,49.28,,T2T contig,pq,0,0,"15,723","61,667,361"
HG02132,HG02132,male,KHV,EAS,,vrk-hic,HPRC,Q1a,Q1a1a,M120,NA,2025,,gr/gr-del???,mis-ASM,gr/gr-del,66.669,150.935,27.491,138.22,,,pq,7,27,"12,576","47,862,370"
HG02698,HG02698,male,PJL,SAS,,vrk-hic,HPRC,Q1a,Q1a2a,L712,NA,2025,,gr/gr-del,,gr/gr-del,71.441,172.027,25.971,41.06,,,pq,3,4,"19,872","41,955,803"
HG01928,HG01928,male,PEL,AMR,,vrk-thc,HPRC,Q1b,Q1b1a1a,M3,NA,2023,,hg38-like,,,90.584,265.657,72.557,81.35,,T2T contig,pq,0,0,"28,965","52,297,143"
HG01952,HG01952,male,PEL,AMR,,vrk-hic,HPRC,Q1b,Q1b1a1a,M3,NA,2023,,T2T-like,,,58.837,157.834,30.641,70.28,,T2T contig,pq,0,0,"29,744","51,397,562"
NA19682,NA19682,male,MXL,AMR,,vrk-hic,HPRC,Q1b,Q1b1a1a,M3,ref,2025,,hg38-like,,,62.56,187.402,34.241,36.53,,T2T_scaff,pq,1,0,"6,831","50,640,429"
HG03654,HG03654,male,PJL,SAS,,vrk-hic,HPRC,Q2b,Q2b1a1,Z36069,NA,2025,,hg38-like,P3_mis-ASM?,,66.139,141.828,29.762,88.15,,,pq,3,7,"21,647","51,076,144"
HG04228,HG04228,male,STU,SAS,,vrk-hic,HPRC,R1a,R1a1a1b2a1a1a,Y6,NA,2025,,gr/gr-del,,gr/gr-del,65.939,163.443,31.852,142.2,,T2T contig,pq,0,0,"15,743","50,658,216"
HG02602,HG02602,male,PJL,SAS,,vrk-thc,HPRC,R1a,R1a1a1b2a1a2c,Y7,NA,2025,,IR5-inv or mis-ASM?,,IR5_INV,65.043,167.15,22.808,170.04,,,pq,2,13,"16,849","55,325,284"
HG02738,HG02738,male,PJL,SAS,,vrk-thc,HPRC,R1a,R1a1a1b2a1a2c,Y7,NA,2025,,hg38-like,,,66.569,133.987,29.744,99.51,,T2T contig,pq,0,0,"28,913","55,652,133"
HG03492,HG03492,male,PJL,SAS,,vrk-thc,HPRC,R1a,R1a1a1b2a1a2c,Y7,NA,2023,,hg38-like,P3_mis-ASM?,IR3_inv,76.35,209.119,36.315,33.79,,,pq,2,1,"21,008","54,517,012"
HG04115,HG04115,male,STU,SAS,,vrk-thc,HPRC,R1a,R1a1a1b2a1a2c,Y7,NA,2025,,hg38-like,,,69.018,127.996,25.342,209.29,,,pq,2,26,"21,343","53,778,708"
HG04204,HG04204,male,STU,SAS,,vrk-hic,HPRC,R1a,R1a1a1b2a1a2c,Y7,NA,2025,,hg38-like,,,55.637,137.322,28.253,137.44,,,pq,2,3,"18,582","56,594,536"
NA20850,NA20850,male,GIH,SAS,,vrk-hic,HPRC,R1a,R1a1a1b2a1a2c,Y7,ref,2025,,hg38-like,,,60.64,134.113,25.458,21.25,,,q,0,0,"4,164","53,499,199"
HG00642,HG00642,male,PUR,AMR,,vrk-hic,HPRC,R1b,R1b,L278,NA,2025,,T2T-like,,smallest Y,64.664,169.35,42.42,100.23,,T2T contig,pq,0,0,"17,838","38,215,009"
200080,200080-G3,male,CEU,EUR,,new asm from Jiadong; with Arang,CEPH_pedigree,R1b,R1b1a1b1a1a1c2b2b1a,Z326,NA,2024,,hg38-like,,,75,,43,,"Manual path, dropping unassigned-0000170. Now T2T",T2T contig,pq,"1 in Yqh, now 0",0,,54195246
