Sample	Seq	Sample_Seq	Resolution	PathName	Path	sample	idx	categ	ours_idx
HG00329	haplotype1-0000027	HG00329_haplotype1-0000027	UNPLACED	haplotype1_from_utig4-997	utig4-1182-,utig4-1181+,utig4-1184+,utig4-1754+,utig4-810-,utig4-806-,utig4-807+,utig4-1102-,utig4-100-,utig4-97-,utig4-98+,utig4-999-,utig4-996-,utig4-994+,utig4-997+,utig4-1111-,utig4-927-,utig4-926+,utig4-930+,utig4-1724-,utig4-1449-,utig4-1447+,utig4-714-,utig4-712+,utig4-715+,utig4-1144-,utig4-1145+,utig4-1760+,[N5000N:ambig_path],utig4-862-,[N907372N:tangle],utig4-845-,utig4-844+,utig4-847+,utig4-1703+,utig4-1511-,utig4-1510+,utig4-95-,utig4-91-,utig4-93+,utig4-781-,utig4-782+,utig4-1785-,utig4-1591-,utig4-1590-,utig4-670-,utig4-669+,utig4-673+,[N1000N:alt-utig4-672],utig4-1640-,utig4-1639+,utig4-110-,utig4-107-,utig4-109+	HG00329	47	no-match	-1
HG00329	haplotype1-0000028	HG00329_haplotype1-0000028	UNPLACED	haplotype1_unused_utig4-1005	utig4-1005+	HG00329	48	no-match	-1
HG00329	haplotype1-0000029	HG00329_haplotype1-0000029	UNPLACED	haplotype1_unused_utig4-1006	utig4-1006+	HG00329	49	no-match	-1
HG00329	haplotype1-0000035	HG00329_haplotype1-0000035	UNPLACED	haplotype1_unused_utig4-1211	utig4-1211+	HG00329	50	match	187
HG00329	haplotype1-0000036	HG00329_haplotype1-0000036	UNPLACED	haplotype1_unused_utig4-1213	utig4-1213+	HG00329	51	match	3519
HG00329	haplotype1-0000037	HG00329_haplotype1-0000037	UNPLACED	haplotype1_unused_utig4-1214	utig4-1214+	HG00329	52	match	374
HG00329	haplotype1-0000038	HG00329_haplotype1-0000038	UNPLACED	haplotype1_unused_utig4-1215	utig4-1215+	HG00329	53	match	1328
HG00329	haplotype1-0000039	HG00329_haplotype1-0000039	UNPLACED	haplotype1_unused_utig4-1216	utig4-1216+	HG00329	54	match	3449
HG00329	haplotype1-0000040	HG00329_haplotype1-0000040	UNPLACED	haplotype1_unused_utig4-1555	utig4-1555+	HG00329	55	no-match	-1
HG00329	haplotype1-0000041	HG00329_haplotype1-0000041	UNPLACED	haplotype1_unused_utig4-1562	utig4-1562+	HG00329	56	no-match	-1
HG00329	haplotype1-0000046	HG00329_haplotype1-0000046	UNPLACED	haplotype1_unused_utig4-1748	utig4-1748+	HG00329	57	match	711
HG00329	haplotype1-0000047	HG00329_haplotype1-0000047	UNPLACED	haplotype1_unused_utig4-1749	utig4-1749+	HG00329	58	match	1431
HG00329	haplotype1-0000048	HG00329_haplotype1-0000048	UNPLACED	haplotype1_unused_utig4-1761	utig4-1761+	HG00329	59	no-match	-1
HG00329	haplotype1-0000049	HG00329_haplotype1-0000049	UNPLACED	haplotype1_unused_utig4-1762	utig4-1762+	HG00329	60	no-match	-1
HG00329	haplotype1-0000053	HG00329_haplotype1-0000053	UNPLACED	haplotype1_unused_utig4-588	utig4-588+	HG00329	61	match	1629
HG00329	haplotype1-0000054	HG00329_haplotype1-0000054	UNPLACED	haplotype1_unused_utig4-771	utig4-771+	HG00329	62	no-match	-1
HG00329	haplotype1-0000055	HG00329_haplotype1-0000055	UNPLACED	haplotype1_unused_utig4-772	utig4-772+	HG00329	63	no-match	-1
HG00329	haplotype1-0000056	HG00329_haplotype1-0000056	UNPLACED	haplotype1_unused_utig4-855	utig4-855+	HG00329	64	no-match	-1
HG00329	haplotype1-0000057	HG00329_haplotype1-0000057	UNPLACED	haplotype1_unused_utig4-856	utig4-856+	HG00329	65	no-match	-1
HG00329	haplotype1-0000058	HG00329_haplotype1-0000058	UNPLACED	haplotype1_unused_utig4-857	utig4-857+	HG00329	66	no-match	-1
HG00329	haplotype1-0000059	HG00329_haplotype1-0000059	UNPLACED	haplotype1_unused_utig4-858	utig4-858+	HG00329	67	no-match	-1
HG00329	haplotype1-0000060	HG00329_haplotype1-0000060	UNPLACED	haplotype1_unused_utig4-859	utig4-859+	HG00329	68	no-match	-1
HG00329	haplotype1-0000061	HG00329_haplotype1-0000061	UNPLACED	haplotype1_unused_utig4-860	utig4-860+	HG00329	69	no-match	-1
HG00329	haplotype1-0000062	HG00329_haplotype1-0000062	UNPLACED	haplotype1_unused_utig4-861	utig4-861+	HG00329	70	no-match	-1
HG00329	haplotype1-0000063	HG00329_haplotype1-0000063	UNPLACED	haplotype1_unused_utig4-864	utig4-864+	HG00329	71	no-match	-1
HG00329	haplotype1-0000064	HG00329_haplotype1-0000064	UNPLACED	haplotype1_unused_utig4-873	utig4-873+	HG00329	72	match	142
HG00329	haplotype2-0000074	HG00329_haplotype2-0000074	UNPLACED	haplotype2_from_utig4-1589	utig4-1443+,utig4-1739-,utig4-821-,utig4-817-,utig4-819+,utig4-1544+,utig4-1546+,utig4-1684+,utig4-59-,utig4-56-,utig4-57+,utig4-1461+,utig4-617-,utig4-616+,utig4-619+,utig4-1794-,utig4-841-,utig4-840+,utig4-241-,utig4-240+,utig4-243+,utig4-1841+,utig4-1473-,utig4-1470-,utig4-1472+,utig4-1772-,utig4-1774+,utig4-1862-,utig4-1701-,utig4-1699-,utig4-1167-,utig4-1164-,utig4-1166+,utig4-1548-,utig4-899-,utig4-897-,utig4-137-,utig4-135+,utig4-138+,utig4-690+,utig4-691+,utig4-1587-,utig4-1589+,utig4-1763-,utig4-1568-,utig4-1566-,utig4-560-,utig4-557-,utig4-558+,utig4-561+,utig4-1109-,utig4-697-,utig4-696+,utig4-700+,utig4-919+,utig4-921+,utig4-1783+,utig4-158-,utig4-156+,utig4-159+,utig4-1799+,utig4-646-,utig4-645+,utig4-649+,utig4-1193-,utig4-1194+,utig4-1792+,utig4-49-,utig4-46-,utig4-47+,utig4-613-,utig4-615+,utig4-778-,utig4-779+,utig4-1651+,utig4-1652+,utig4-1780+,utig4-1620-,utig4-1617-,utig4-1618+,utig4-815-,utig4-813-,utig4-811+,utig4-814+	HG00329	73	no-match	-1
HG00329	haplotype2-0000080	HG00329_haplotype2-0000080	UNPLACED	haplotype2_from_utig4-182	utig4-1338-,utig4-1340+,utig4-1848-,utig4-1483-,utig4-1481-,utig4-635-,utig4-634-,utig4-184-,utig4-181-,utig4-182+,utig4-1621+,utig4-1204-,utig4-1201-,utig4-1202+,utig4-1532-,utig4-1533+	HG00329	74	no-match	-1
HG00329	haplotype2-0000081	HG00329_haplotype2-0000081	UNPLACED	haplotype2_from_utig4-1825	utig4-1559-,utig4-1555-,utig4-1556+,utig4-1823+,utig4-1825+,[N1302219N:alt-utig4-1756],utig4-1757-,utig4-1755+,utig4-29-,utig4-26-,utig4-28+,utig4-1440+,utig4-1441+	HG00329	75	no-match	-1
HG00329	haplotype2-0000082	HG00329_haplotype2-0000082	UNPLACED	haplotype2_from_utig4-1859	utig4-1857-,utig4-1859+,utig4-877-,utig4-875+	HG00329	76	no-match	-1
HG00329	haplotype2-0000088	HG00329_haplotype2-0000088	UNPLACED	haplotype2_from_utig4-653	utig4-1446-,utig4-1444+,utig4-1222-,utig4-1221+,utig4-736-,utig4-735+,utig4-661-,utig4-660-,utig4-481-,utig4-477-,utig4-479+,utig4-1722+,utig4-1077-,utig4-1073-,utig4-1075+,utig4-1741-,utig4-908-,utig4-906-,utig4-726-,utig4-725+,utig4-729+,utig4-1615-,utig4-1565-,utig4-1563-,utig4-651-,utig4-650+,utig4-653+,utig4-931+,utig4-932+,utig4-1014-,utig4-1015+,utig4-1422+,utig4-1180-,utig4-1176-,utig4-1178+,utig4-609-,utig4-605-,utig4-601-,utig4-602+,utig4-1433-,utig4-1434+	HG00329	77	no-match	-1
HG00329	haplotype2-0000089	HG00329_haplotype2-0000089	UNPLACED	haplotype2_from_utig4-688	utig4-1413-,utig4-1412+,utig4-1416+,utig4-1600-,utig4-167-,utig4-166+,utig4-170+,utig4-626-,utig4-627+,utig4-1513-,utig4-1514+,utig4-1656-,utig4-1657+,utig4-1867-,utig4-1170-,utig4-1169+,utig4-1173+,utig4-1766-,utig4-775-,utig4-773+,utig4-777+,utig4-887-,utig4-888+,utig4-1189-,utig4-1191+,utig4-1872+,utig4-599-,[N336308N:alt-utig4-598],utig4-597-,utig4-596+,utig4-172-,utig4-171+,utig4-174+,utig4-687-,utig4-688+,utig4-1675+,utig4-1676+	HG00329	78	no-match	-1
HG00329	haplotype2-0000090	HG00329_haplotype2-0000090	UNPLACED	haplotype2_from_utig4-719	utig4-463+,utig4-717+,utig4-719+	HG00329	79	no-match	-1
HG00329	haplotype2-0000093	HG00329_haplotype2-0000093	UNPLACED	haplotype2_from_utig4-770	utig4-150-,utig4-148+,utig4-152+,utig4-1779-,utig4-1777+,utig4-65-,utig4-61-,utig4-63+,utig4-768-,utig4-770+,utig4-1715+,utig4-1716+,utig4-1821-,utig4-800-,[N100000N:scaffold],utig4-318+	HG00329	80	no-match	-1
HG00329	haplotype2-0000095	HG00329_haplotype2-0000095	UNPLACED	haplotype2_from_utig4-783	utig4-1275-,utig4-421-,utig4-419+,utig4-846-,utig4-844+,utig4-848+,utig4-1703+,utig4-1512-,utig4-1510+,utig4-94-,utig4-91-,utig4-92+,utig4-781-,utig4-783+,utig4-1785-,utig4-1592-,utig4-1590-,utig4-671-,utig4-669+,utig4-672+,utig4-1639+,utig4-111-,utig4-107-,utig4-108+	HG00329	81	no-match	-1
HG00329	haplotype2-0000096	HG00329_haplotype2-0000096	UNPLACED	haplotype2_from_utig4-998	utig4-1183-,utig4-1181+,utig4-1185+,utig4-1754+,utig4-809-,utig4-806-,utig4-808+,utig4-1102-,utig4-101-,utig4-97-,utig4-99+,utig4-999-,utig4-995-,utig4-994+,utig4-998+,utig4-1111-,utig4-928-,utig4-926+,utig4-929+,utig4-1724-,utig4-1448-,utig4-1447+,utig4-713-,utig4-712+,utig4-716+,utig4-1144-,utig4-1146+,utig4-850-	HG00329	82	no-match	-1
HG00329	haplotype2-0000109	HG00329_haplotype2-0000109	UNPLACED	haplotype2_unused_utig4-771	utig4-771+	HG00329	83	no-match	-1
HG00329	haplotype2-0000110	HG00329_haplotype2-0000110	UNPLACED	haplotype2_unused_utig4-772	utig4-772+	HG00329	84	no-match	-1
HG00329	unassigned-0000158	HG00329_unassigned-0000158	UNPLACED	na_unused_utig4-1171	utig4-1171+	HG00329	85	no-match	-1
HG00329	unassigned-0000159	HG00329_unassigned-0000159	UNPLACED	na_unused_utig4-1172	utig4-1172+	HG00329	86	no-match	-1
HG00329	unassigned-0000343	HG00329_unassigned-0000343	UNPLACED	na_unused_utig4-1545	utig4-1545+	HG00329	87	no-match	-1
HG00329	unassigned-0000345	HG00329_unassigned-0000345	UNPLACED	na_unused_utig4-1557	utig4-1557+	HG00329	88	no-match	-1
HG00329	unassigned-0000346	HG00329_unassigned-0000346	UNPLACED	na_unused_utig4-1558	utig4-1558+	HG00329	89	no-match	-1
HG00329	unassigned-0000375	HG00329_unassigned-0000375	UNPLACED	na_unused_utig4-1758	utig4-1758+	HG00329	90	no-match	-1
HG00329	unassigned-0000405	HG00329_unassigned-0000405	UNPLACED	na_unused_utig4-1868	utig4-1868+	HG00329	91	no-match	-1
HG00329	unassigned-0000564	HG00329_unassigned-0000564	UNPLACED	na_unused_utig4-420	utig4-420+	HG00329	92	no-match	-1
HG00329	unassigned-0000599	HG00329_unassigned-0000599	UNPLACED	na_unused_utig4-465	utig4-465+	HG00329	93	no-match	-1
HG00329	unassigned-0000609	HG00329_unassigned-0000609	UNPLACED	na_unused_utig4-484	utig4-484+	HG00329	94	no-match	-1
HG00329	unassigned-0000610	HG00329_unassigned-0000610	UNPLACED	na_unused_utig4-485	utig4-485+	HG00329	95	no-match	-1
HG00329	unassigned-0000649	HG00329_unassigned-0000649	UNPLACED	na_unused_utig4-548	utig4-548+	HG00329	96	no-match	-1
HG00329	unassigned-0000660	HG00329_unassigned-0000660	UNPLACED	na_unused_utig4-589	utig4-589+	HG00329	97	no-match	-1
HG00329	unassigned-0000661	HG00329_unassigned-0000661	UNPLACED	na_unused_utig4-590	utig4-590+	HG00329	98	match	1934
HG00329	unassigned-0000662	HG00329_unassigned-0000662	UNPLACED	na_unused_utig4-604	utig4-604+	HG00329	99	no-match	-1
HG00329	unassigned-0000663	HG00329_unassigned-0000663	UNPLACED	na_unused_utig4-606	utig4-606+	HG00329	100	no-match	-1
HG00329	unassigned-0000664	HG00329_unassigned-0000664	UNPLACED	na_unused_utig4-607	utig4-607+	HG00329	101	no-match	-1
HG00329	unassigned-0000667	HG00329_unassigned-0000667	UNPLACED	na_unused_utig4-692	utig4-692+	HG00329	102	no-match	-1
HG00329	unassigned-0000668	HG00329_unassigned-0000668	UNPLACED	na_unused_utig4-693	utig4-693+	HG00329	103	no-match	-1
HG00329	unassigned-0000669	HG00329_unassigned-0000669	UNPLACED	na_unused_utig4-694	utig4-694+	HG00329	104	no-match	-1
HG00329	unassigned-0000680	HG00329_unassigned-0000680	UNPLACED	na_unused_utig4-816	utig4-816+	HG00329	105	no-match	-1
HG00329	unassigned-0000698	HG00329_unassigned-0000698	UNPLACED	na_unused_utig4-874	utig4-874+	HG00329	106	match	3212
HG005	pat-0001218	HG005_pat-0001218	SCAFFOLD	pat_from_utig4-291	utig4-292-,utig4-291+,utig4-982-,utig4-984+,utig4-985-	NA24631	107	match	756
HG005	pat-0001233	HG005_pat-0001233	SCAFFOLD	pat_from_utig4-939	utig4-939+	NA24631	108	match	1890
HG005	pat-0001337	HG005_pat-0001337	UNPLACED	pat_unused_utig4-983	utig4-983+	NA24631	109	match	543
HG00609	haplotype1-0000011	HG00609_haplotype1-0000011	SCAFFOLD	haplotype1_from_utig4-2048	utig4-2048+,utig4-2624-	HG00609	110	match	1615
HG00609	unassigned-0000596	HG00609_unassigned-0000596	UNPLACED	na_unused_utig4-755	utig4-755+	HG00609	111	no-match	-1
HG00621	pat-0000611	HG00621_pat-0000611	SCAFFOLD	pat_from_utig4-1003	utig4-1003+,utig4-1004+,utig4-1005+,utig4-2187+,utig4-2186+	HG00621	112	match	157
HG00642	haplotype1-0000004	HG00642_haplotype1-0000004	SCAFFOLD	haplotype1_from_utig4-1259	utig4-1259+	HG00642	113	match	2007
HG00658	pat-0000523	HG00658_pat-0000523	UNPLACED	pat_from_utig4-1053	utig4-1053+	HG00658	114	match	165
HG00658	pat-0000526	HG00658_pat-0000526	UNPLACED	pat_from_utig4-1282	utig4-1282+,utig4-1699-	HG00658	115	match	2089
HG00658	pat-0000527	HG00658_pat-0000527	UNPLACED	pat_from_utig4-1283	utig4-1281+,utig4-1283+	HG00658	116	match	93
HG00658	pat-0000536	HG00658_pat-0000536	UNPLACED	pat_from_utig4-1697	utig4-1697+,utig4-2121-	HG00658	117	match	1214
HG00658	pat-0000537	HG00658_pat-0000537	SCAFFOLD	pat_from_utig4-1705	utig4-1705+,utig4-1819-,utig4-1081-,utig4-1078-	HG00658	118	match	2263
HG00658	pat-0000544	HG00658_pat-0000544	SCAFFOLD	pat_from_utig4-416	utig4-416+,utig4-1742-,[N13129N:ambig_bubble],utig4-1745-,utig4-63+,[N100000N:scaffold],utig4-64+,utig4-1698-,utig4-1694-,[N92692N:ambig_bubble],utig4-1907-,utig4-1905-,[N100000N:scaffold],utig4-698-,[N29455N:ambig_bubble],utig4-2119+,utig4-2120+,utig4-1952-,utig4-1951+	HG00658	119	match	972
HG00658	pat-0000571	HG00658_pat-0000571	UNPLACED	pat_unused_utig4-1054	utig4-1054+	HG00658	120	match	2300
HG00658	pat-0000583	HG00658_pat-0000583	UNPLACED	pat_unused_utig4-1079	utig4-1079+	HG00658	121	match	3121
HG00658	pat-0000584	HG00658_pat-0000584	UNPLACED	pat_unused_utig4-1080	utig4-1080+	HG00658	122	match	87
HG00658	pat-0000585	HG00658_pat-0000585	UNPLACED	pat_unused_utig4-1082	utig4-1082+	HG00658	123	match	825
HG00658	pat-0000586	HG00658_pat-0000586	UNPLACED	pat_unused_utig4-1083	utig4-1083+	HG00658	124	match	1559
HG00658	pat-0000600	HG00658_pat-0000600	UNPLACED	pat_unused_utig4-1245	utig4-1245+	HG00658	125	match	2710
HG00658	pat-0000601	HG00658_pat-0000601	UNPLACED	pat_unused_utig4-1246	utig4-1246+	HG00658	126	match	315
HG00658	pat-0000602	HG00658_pat-0000602	UNPLACED	pat_unused_utig4-1247	utig4-1247+	HG00658	127	match	1281
