sample	alias	old_name	new_name	orient	proc_status
HG00738	HG00738	chrY_pat-0000564	HG00738_chrY	1	auto
HG00738	HG00738	pat-0000713	HG00738_chrY_random0000713	0	auto
HG01074	HG01074	chrY_haplotype1-0000019	HG01074_chrY	1	auto
HG01099	HG01099	chrY_haplotype1-0000025	HG01099_chrY	1	auto
HG01099	HG01099	haplotype1-0000013	HG01099_chrY_random0000013	0	auto
HG01099	HG01099	haplotype2-0000107	HG01099_chrY_random0000107	0	auto
HG01099	HG01099	haplotype2-0000113	HG01099_chrY_random0000113	0	auto
HG01106	HG01106	chrX_mat-0000007	HG01106_chrY	1	auto
HG01106	HG01106	chrY_pat-0000759	HG01106_chrY	1	auto
HG01106	HG01106	mat-0000007	HG01106_chrY_random0000007	0	auto
HG01106	HG01106	pat-0000797	HG01106_chrY_random0000797	0	auto
HG01106	HG01106	pat-0000799	HG01106_chrY_random0000799	0	auto
HG01109	HG01109	chrY_pat-0000969	HG01109_chrY	1	auto
HG01109	HG01109	chrY_pat-0000951	HG01109_chrY	1	auto
HG01109	HG01109	unassigned-0000932	HG01109_chrY_random0000932	0	auto
HG01109	HG01109	pat-0000975	HG01109_chrY_random0000975	0	auto
HG01109	HG01109	pat-0000976	HG01109_chrY_random0000976	0	auto
HG01109	HG01109	pat-0000977	HG01109_chrY_random0000977	0	auto
HG01109	HG01109	pat-0001326	HG01109_chrY_random0001326	0	auto
HG01167	HG01167	haplotype1-0000001	HG01167_chrY	1	manual
HG01192	HG01192	haplotype1-0000011	HG01192_chrY	1	manual
HG01192	HG01192	haplotype1-0000014	HG01192_chrY_random0000014	0	auto
HG01192	HG01192	haplotype1-0000015	HG01192_chrY_random0000015	0	auto
HG01192	HG01192	haplotype1-0000016	HG01192_chrY_random0000016	0	auto
HG01192	HG01192	haplotype1-0000017	HG01192_chrY_random0000017	0	auto
HG01192	HG01192	haplotype1-0000018	HG01192_chrY_random0000018	0	auto
HG01192	HG01192	haplotype1-0000019	HG01192_chrY_random0000019	0	auto
HG01243	HG01243	chrY_haplotype1-0000012	HG01243_chrY	1	auto
HG01243	HG01243	chrY_haplotype1-0000021	HG01243_chrY	1	auto
HG01243	HG01243	haplotype1-0000052	HG01243_chrY_random0000052	0	auto
HG01243	HG01243	haplotype1-0000071	HG01243_chrY_random0000071	0	auto
HG01243	HG01243	haplotype1-0000072	HG01243_chrY_random0000072	0	auto
HG01243	HG01243	haplotype1-0000073	HG01243_chrY_random0000073	0	auto
HG01243	HG01243	haplotype1-0000074	HG01243_chrY_random0000074	0	auto
HG01243	HG01243	haplotype1-0000075	HG01243_chrY_random0000075	0	auto
HG01243	HG01243	haplotype1-0000175	HG01243_chrY_random0000175	0	auto
HG01243	HG01243	haplotype1-0000188	HG01243_chrY_random0000188	0	auto
HG01252	HG01252	chrY_pat-0000532	HG01252_chrY	1	auto
HG01252	HG01252	pat-0000707	HG01252_chrY	1	auto
HG01255	HG01255	chrY_haplotype1-0000016	HG01255_chrY	1	auto
HG01255	HG01255	haplotype2-0000119	HG01255_chrY_random0000119	0	auto
HG01255	HG01255	haplotype2-0000120	HG01255_chrY_random0000120	0	auto
HG01255	HG01255	haplotype2-0000121	HG01255_chrY_random0000121	0	auto
HG01255	HG01255	haplotype2-0000140	HG01255_chrY_random0000140	0	auto
HG01258	HG01258	chrY_pat-0000774	HG01258_chrY	1	auto
HG01261	HG01261	chrY_haplotype1-0000012	HG01261_chrY	1	auto
HG01261	HG01261	haplotype2-0000116	HG01261_chrY_random0000116	0	auto
HG01261	HG01261	haplotype2-0000118	HG01261_chrY_random0000118	0	auto
HG01358	HG01358	chrY_pat-0000434	HG01358_chrY	1	auto
HG01358	HG01358	pat-0000464	HG01358_chrY_random0000464	0	auto
HG01358	HG01358	pat-0000621	HG01358_chrY_random0000621	0	auto
HG01433	HG01433	chrY_pat-0000521	HG01433_chrY	1	auto
HG01433	HG01433	chrY_pat-0000511	HG01433_chrY	1	auto
HG01433	HG01433	chrY_pat-0000498	HG01433_chrY	1	auto
HG01433	HG01433	pat-0000515	HG01433_chrY_random0000515	0	auto
HG01433	HG01433	pat-0000525	HG01433_chrY_random0000525	0	auto
HG01433	HG01433	pat-0000526	HG01433_chrY_random0000526	0	auto
HG01433	HG01433	pat-0000527	HG01433_chrY_random0000527	0	auto
HG01433	HG01433	pat-0000528	HG01433_chrY_random0000528	0	auto
HG01433	HG01433	pat-0000544	HG01433_chrY_random0000544	0	auto
HG01433	HG01433	pat-0000590	HG01433_chrY_random0000590	0	auto
HG01433	HG01433	pat-0000677	HG01433_chrY_random0000677	0	auto
HG01433	HG01433	pat-0000683	HG01433_chrY_random0000683	0	auto
HG01433	HG01433	pat-0000684	HG01433_chrY_random0000684	0	auto
HG01433	HG01433	pat-0000740	HG01433_chrY_random0000740	0	auto
HG01433	HG01433	pat-0000742	HG01433_chrY_random0000742	0	auto
HG01433	HG01433	pat-0000743	HG01433_chrY_random0000743	0	auto
HG01433	HG01433	pat-0000767	HG01433_chrY_random0000767	0	auto
HG01433	HG01433	pat-0000768	HG01433_chrY_random0000768	0	auto
HG01433	HG01433	pat-0000769	HG01433_chrY_random0000769	0	auto
HG01433	HG01433	pat-0000789	HG01433_chrY_random0000789	0	auto
HG01530	HG01530	chrY_haplotype1-0000004	HG01530_chrY	1	auto
HG01530	HG01530	haplotype1-0000028	HG01530_chrY_random0000028	0	auto
HG01928	HG01928	chrY_pat-0000542	HG01928_chrY	1	auto
HG01934	HG01934	chrY_haplotype1-0000010	HG01934_chrY	1	auto
HG01943	HG01943	chrY_haplotype1-0000026	HG01943_chrY	-1	auto
HG01952	HG01952	chrY_haplotype1-0000014	HG01952_chrY	1	auto
HG02015	HG02015	chrY_haplotype1-0000001	HG02015_chrY	1	auto
HG02015	HG02015	chrY_haplotype2-0000121	HG02015_chrY	1	auto
HG02015	HG02015	haplotype1-0000020	HG02015_chrY_random0000020	0	auto
HG02015	HG02015	haplotype1-0000044	HG02015_chrY_random0000044	0	auto
HG02015	HG02015	haplotype1-0000045	HG02015_chrY_random0000045	0	auto
HG02015	HG02015	haplotype1-0000046	HG02015_chrY_random0000046	0	auto
HG02015	HG02015	haplotype1-0000048	HG02015_chrY_random0000048	0	auto
HG02015	HG02015	haplotype1-0000054	HG02015_chrY_random0000054	0	auto
HG02015	HG02015	haplotype1-0000061	HG02015_chrY_random0000061	0	auto
HG02015	HG02015	haplotype1-0000062	HG02015_chrY_random0000062	0	auto
HG02015	HG02015	haplotype1-0000063	HG02015_chrY_random0000063	0	auto
HG02015	HG02015	haplotype1-0000078	HG02015_chrY_random0000078	0	auto
HG02015	HG02015	haplotype1-0000079	HG02015_chrY_random0000079	0	auto
HG02015	HG02015	haplotype1-0000080	HG02015_chrY_random0000080	0	auto
HG02015	HG02015	haplotype1-0000082	HG02015_chrY_random0000082	0	auto
HG02015	HG02015	haplotype1-0000098	HG02015_chrY_random0000098	0	auto
HG02015	HG02015	haplotype1-0000099	HG02015_chrY_random0000099	0	auto
HG02015	HG02015	haplotype2-0000141	HG02015_chrY_random0000141	0	auto
HG02015	HG02015	haplotype2-0000142	HG02015_chrY_random0000142	0	auto
HG02015	HG02015	haplotype2-0000143	HG02015_chrY_random0000143	0	auto
HG02015	HG02015	haplotype2-0000144	HG02015_chrY_random0000144	0	auto
HG02015	HG02015	haplotype2-0000145	HG02015_chrY_random0000145	0	auto
HG02015	HG02015	haplotype2-0000146	HG02015_chrY_random0000146	0	auto
HG02015	HG02015	haplotype2-0000147	HG02015_chrY_random0000147	0	auto
HG02015	HG02015	haplotype2-0000148	HG02015_chrY_random0000148	0	auto
HG02015	HG02015	haplotype2-0000149	HG02015_chrY_random0000149	0	auto
HG02015	HG02015	haplotype2-0000150	HG02015_chrY_random0000150	0	auto
HG02015	HG02015	haplotype2-0000151	HG02015_chrY_random0000151	0	auto
HG02015	HG02015	haplotype2-0000156	HG02015_chrY_random0000156	0	auto
HG02015	HG02015	haplotype2-0000157	HG02015_chrY_random0000157	0	auto
HG02015	HG02015	haplotype2-0000158	HG02015_chrY_random0000158	0	auto
HG02015	HG02015	haplotype2-0000159	HG02015_chrY_random0000159	0	auto
HG02015	HG02015	haplotype2-0000161	HG02015_chrY_random0000161	0	auto
HG02015	HG02015	haplotype2-0000162	HG02015_chrY_random0000162	0	auto
HG02015	HG02015	haplotype2-0000165	HG02015_chrY_random0000165	0	auto
HG02015	HG02015	haplotype2-0000167	HG02015_chrY_random0000167	0	auto
HG02015	HG02015	haplotype2-0000168	HG02015_chrY_random0000168	0	auto
HG02015	HG02015	haplotype2-0000169	HG02015_chrY_random0000169	0	auto
HG02015	HG02015	haplotype2-0000172	HG02015_chrY_random0000172	0	auto
HG02015	HG02015	haplotype2-0000173	HG02015_chrY_random0000173	0	auto
HG02015	HG02015	haplotype2-0000174	HG02015_chrY_random0000174	0	auto
HG02015	HG02015	haplotype2-0000175	HG02015_chrY_random0000175	0	auto
HG02015	HG02015	haplotype2-0000176	HG02015_chrY_random0000176	0	auto
HG02015	HG02015	haplotype2-0000178	HG02015_chrY_random0000178	0	auto
HG02015	HG02015	haplotype2-0000179	HG02015_chrY_random0000179	0	auto
HG02015	HG02015	haplotype2-0000180	HG02015_chrY_random0000180	0	auto
HG02015	HG02015	haplotype2-0000182	HG02015_chrY_random0000182	0	auto
HG02015	HG02015	haplotype2-0000183	HG02015_chrY_random0000183	0	auto
HG02015	HG02015	haplotype2-0000185	HG02015_chrY_random0000185	0	auto
HG02015	HG02015	haplotype2-0000189	HG02015_chrY_random0000189	0	auto
HG02015	HG02015	haplotype2-0000190	HG02015_chrY_random0000190	0	auto
HG02015	HG02015	haplotype2-0000191	HG02015_chrY_random0000191	0	auto
HG02015	HG02015	haplotype2-0000192	HG02015_chrY_random0000192	0	auto
HG02015	HG02015	haplotype2-0000193	HG02015_chrY_random0000193	0	auto
HG02015	HG02015	haplotype2-0000194	HG02015_chrY_random0000194	0	auto
HG02015	HG02015	haplotype2-0000195	HG02015_chrY_random0000195	0	auto
HG02015	HG02015	haplotype2-0000196	HG02015_chrY_random0000196	0	auto
HG02015	HG02015	haplotype2-0000197	HG02015_chrY_random0000197	0	auto
HG02015	HG02015	haplotype2-0000202	HG02015_chrY_random0000202	0	auto
HG02015	HG02015	haplotype2-0000203	HG02015_chrY_random0000203	0	auto
HG02015	HG02015	haplotype2-0000204	HG02015_chrY_random0000204	0	auto
HG02015	HG02015	haplotype2-0000205	HG02015_chrY_random0000205	0	auto
HG02015	HG02015	unassigned-0000648	HG02015_chrY_random0000648	0	auto
HG02015	HG02015	unassigned-0000649	HG02015_chrY_random0000649	0	auto
HG02015	HG02015	unassigned-0000650	HG02015_chrY_random0000650	0	auto
HG02015	HG02015	unassigned-0000678	HG02015_chrY_random0000678	0	auto
HG02015	HG02015	unassigned-0000683	HG02015_chrY_random0000683	0	auto
HG02015	HG02015	unassigned-0000684	HG02015_chrY_random0000684	0	auto
HG02015	HG02015	unassigned-0000692	HG02015_chrY_random0000692	0	auto
HG02015	HG02015	unassigned-0000693	HG02015_chrY_random0000693	0	auto
HG02015	HG02015	unassigned-0000694	HG02015_chrY_random0000694	0	auto
HG02015	HG02015	unassigned-0000695	HG02015_chrY_random0000695	0	auto
HG02015	HG02015	unassigned-0000698	HG02015_chrY_random0000698	0	auto
HG02015	HG02015	unassigned-0000699	HG02015_chrY_random0000699	0	auto
HG02015	HG02015	unassigned-0000706	HG02015_chrY_random0000706	0	auto
HG02015	HG02015	unassigned-0000731	HG02015_chrY_random0000731	0	auto
HG02015	HG02015	unassigned-0000732	HG02015_chrY_random0000732	0	auto
HG02015	HG02015	unassigned-0000749	HG02015_chrY_random0000749	0	auto
HG02015	HG02015	unassigned-0000751	HG02015_chrY_random0000751	0	auto
HG02015	HG02015	unassigned-0000852	HG02015_chrY_random0000852	0	auto
HG02015	HG02015	unassigned-0001230	HG02015_chrY_random0001230	0	auto
HG02015	HG02015	unassigned-0001231	HG02015_chrY_random0001231	0	auto
HG02015	HG02015	unassigned-0001243	HG02015_chrY_random0001243	0	auto
HG02015	HG02015	unassigned-0001244	HG02015_chrY_random0001244	0	auto
HG02015	HG02015	unassigned-0001245	HG02015_chrY_random0001245	0	auto
HG02015	HG02015	unassigned-0001246	HG02015_chrY_random0001246	0	auto
HG02015	HG02015	unassigned-0001247	HG02015_chrY_random0001247	0	auto
HG02027	HG02027	chrY_pat-0000390	HG02027_chrY	1	auto
HG02027	HG02027	pat-0000474	HG02027_chrY_random0000474	0	auto
HG02040	HG02040	chrY_haplotype1-0000017	HG02040_chrY	-1	auto
HG02040	HG02040	haplotype2-0000126	HG02040_chrY_random0000126	0	auto
HG02055	HG02055	chrY_pat-0000629	HG02055_chrY	1	auto
HG02055	HG02055	chrY_pat-0000631	HG02055_chrY	1	auto
HG02055	HG02055	pat-0000876	HG02055_chrY_random0000876	0	auto
HG02056	HG02056	chrY_pat-0000451	HG02056_chrY	1	auto
HG02071	HG02071	chrY_pat-0000661	HG02071_chrY	-1	auto
HG02071	HG02071	pat-0000786	HG02071_chrY_random0000786	0	auto
HG02071	HG02071	pat-0000787	HG02071_chrY_random0000787	0	auto
HG02071	HG02071	pat-0000788	HG02071_chrY_random0000788	0	auto
HG02071	HG02071	pat-0000945	HG02071_chrY_random0000945	0	auto
HG02071	HG02071	pat-0000947	HG02071_chrY_random0000947	0	auto
HG02071	HG02071	pat-0000997	HG02071_chrY_random0000997	0	auto
HG02071	HG02071	pat-0001039	HG02071_chrY_random0001039	0	auto
HG02071	HG02071	pat-0001043	HG02071_chrY_random0001043	0	auto
HG02071	HG02071	pat-0001045	HG02071_chrY_random0001045	0	auto
HG02071	HG02071	pat-0001046	HG02071_chrY_random0001046	0	auto
HG02074	HG02074	chrY_pat-0000739	HG02074_chrY	-1	auto
HG02074	HG02074	pat-0001012	HG02074_chrY_random0001012	0	auto
HG02083	HG02083	chrY_pat-0000362	HG02083_chrY	1	auto
HG02083	HG02083	pat-0000391	HG02083_chrY_random0000391	0	auto
HG02083	HG02083	pat-0000528	HG02083_chrY_random0000528	0	auto
HG02083	HG02083	pat-0000529	HG02083_chrY_random0000529	0	auto
HG02083	HG02083	pat-0000530	HG02083_chrY_random0000530	0	auto
HG02083	HG02083	pat-0000531	HG02083_chrY_random0000531	0	auto
HG02083	HG02083	pat-0000532	HG02083_chrY_random0000532	0	auto
HG02083	HG02083	pat-0000534	HG02083_chrY_random0000534	0	auto
HG02083	HG02083	pat-0000535	HG02083_chrY_random0000535	0	auto
HG02083	HG02083	pat-0000536	HG02083_chrY_random0000536	0	auto
HG02083	HG02083	pat-0000537	HG02083_chrY_random0000537	0	auto
HG02083	HG02083	pat-0000539	HG02083_chrY_random0000539	0	auto
HG02083	HG02083	pat-0000540	HG02083_chrY_random0000540	0	auto
HG02129	HG02129	chrY_haplotype1-0000005	HG02129_chrY	1	auto
HG02129	HG02129	chrY_haplotype2-0000101	HG02129_chrY	1	auto
HG02129	HG02129	haplotype1-0000024	HG02129_chrY_random0000024	0	auto
HG02132	HG02132	chrY_haplotype2-0000165	HG02132_chrY	1	auto
HG02132	HG02132	chrY_haplotype2-0000173	HG02132_chrY	1	auto
