sample	alias	old_name	new_name	orient	proc_status	idx	categ	ours_idx
HG01243	HG01243	haplotype1-0000052	HG01243_chrY_random0000052	0	auto	197	match	781
HG01243	HG01243	haplotype1-0000071	HG01243_chrY_random0000071	0	auto	198	match	1447
HG01243	HG01243	haplotype1-0000072	HG01243_chrY_random0000072	0	auto	199	match	2590
HG01243	HG01243	haplotype1-0000073	HG01243_chrY_random0000073	0	auto	200	match	2367
HG01243	HG01243	haplotype1-0000074	HG01243_chrY_random0000074	0	auto	201	match	1860
HG01243	HG01243	haplotype1-0000075	HG01243_chrY_random0000075	0	auto	202	match	930
HG01243	HG01243	haplotype1-0000175	HG01243_chrY_random0000175	0	auto	203	match	381
HG01243	HG01243	haplotype1-0000188	HG01243_chrY_random0000188	0	auto	204	match	3165
HG01252	HG01252	chrY_pat-0000532	HG01252_chrY	1	auto	205	match	1655
HG01252	HG01252	pat-0000707	HG01252_chrY	1	auto	206	match	2238
HG01255	HG01255	chrY_haplotype1-0000016	HG01255_chrY	1	auto	207	match	1870
HG01255	HG01255	haplotype2-0000119	HG01255_chrY_random0000119	0	auto	208	match	869
HG01255	HG01255	haplotype2-0000120	HG01255_chrY_random0000120	0	auto	209	match	652
HG01255	HG01255	haplotype2-0000121	HG01255_chrY_random0000121	0	auto	210	match	234
HG01255	HG01255	haplotype2-0000140	HG01255_chrY_random0000140	0	auto	211	match	1272
HG01258	HG01258	chrY_pat-0000774	HG01258_chrY	1	auto	212	match	2326
HG01261	HG01261	chrY_haplotype1-0000012	HG01261_chrY	1	auto	213	match	1288
HG01261	HG01261	haplotype2-0000116	HG01261_chrY_random0000116	0	auto	214	match	1463
HG01261	HG01261	haplotype2-0000118	HG01261_chrY_random0000118	0	auto	215	match	683
HG01358	HG01358	chrY_pat-0000434	HG01358_chrY	1	auto	216	match	2803
HG01358	HG01358	pat-0000464	HG01358_chrY_random0000464	0	auto	217	match	1877
HG01358	HG01358	pat-0000621	HG01358_chrY_random0000621	0	auto	218	match	1370
HG01433	HG01433	chrY_pat-0000521	HG01433_chrY	1	auto	219	match	3441
HG01433	HG01433	chrY_pat-0000511	HG01433_chrY	1	auto	220	match	2350
HG01433	HG01433	chrY_pat-0000498	HG01433_chrY	1	auto	221	match	961
HG01433	HG01433	pat-0000515	HG01433_chrY_random0000515	0	auto	222	match	1785
HG01433	HG01433	pat-0000525	HG01433_chrY_random0000525	0	auto	223	match	2049
HG01433	HG01433	pat-0000526	HG01433_chrY_random0000526	0	auto	224	match	3489
HG01433	HG01433	pat-0000527	HG01433_chrY_random0000527	0	auto	225	match	129
HG01433	HG01433	pat-0000528	HG01433_chrY_random0000528	0	auto	226	match	2616
HG01433	HG01433	pat-0000544	HG01433_chrY_random0000544	0	auto	227	match	30
HG01433	HG01433	pat-0000590	HG01433_chrY_random0000590	0	auto	228	match	3864
HG01433	HG01433	pat-0000677	HG01433_chrY_random0000677	0	auto	229	match	980
HG01433	HG01433	pat-0000683	HG01433_chrY_random0000683	0	auto	230	match	292
HG01433	HG01433	pat-0000684	HG01433_chrY_random0000684	0	auto	231	match	1450
HG01433	HG01433	pat-0000740	HG01433_chrY_random0000740	0	auto	232	match	1231
HG01433	HG01433	pat-0000742	HG01433_chrY_random0000742	0	auto	233	match	318
HG01433	HG01433	pat-0000743	HG01433_chrY_random0000743	0	auto	234	match	117
HG01433	HG01433	pat-0000767	HG01433_chrY_random0000767	0	auto	235	match	45
HG01433	HG01433	pat-0000768	HG01433_chrY_random0000768	0	auto	236	match	1493
HG01433	HG01433	pat-0000769	HG01433_chrY_random0000769	0	auto	237	match	2497
HG01433	HG01433	pat-0000789	HG01433_chrY_random0000789	0	auto	238	match	2069
HG01530	HG01530	chrY_haplotype1-0000004	HG01530_chrY	1	auto	239	match	3792
HG01530	HG01530	haplotype1-0000028	HG01530_chrY_random0000028	0	auto	240	match	1361
HG01928	HG01928	chrY_pat-0000542	HG01928_chrY	1	auto	241	match	3301
HG01934	HG01934	chrY_haplotype1-0000010	HG01934_chrY	1	auto	242	match	1144
HG01943	HG01943	chrY_haplotype1-0000026	HG01943_chrY	-1	auto	243	match	973
HG01952	HG01952	chrY_haplotype1-0000014	HG01952_chrY	1	auto	244	match	1771
HG02015	HG02015	chrY_haplotype1-0000001	HG02015_chrY	1	auto	245	no-match	-1
HG02015	HG02015	chrY_haplotype2-0000121	HG02015_chrY	1	auto	246	no-match	-1
HG02015	HG02015	haplotype1-0000020	HG02015_chrY_random0000020	0	auto	247	no-match	-1
HG02015	HG02015	haplotype1-0000044	HG02015_chrY_random0000044	0	auto	248	no-match	-1
HG02015	HG02015	haplotype1-0000045	HG02015_chrY_random0000045	0	auto	249	no-match	-1
HG02015	HG02015	haplotype1-0000046	HG02015_chrY_random0000046	0	auto	250	no-match	-1
HG02015	HG02015	haplotype1-0000048	HG02015_chrY_random0000048	0	auto	251	no-match	-1
HG02015	HG02015	haplotype1-0000054	HG02015_chrY_random0000054	0	auto	252	no-match	-1
HG02015	HG02015	haplotype1-0000061	HG02015_chrY_random0000061	0	auto	253	no-match	-1
HG02015	HG02015	haplotype1-0000062	HG02015_chrY_random0000062	0	auto	254	no-match	-1
HG02015	HG02015	haplotype1-0000063	HG02015_chrY_random0000063	0	auto	255	no-match	-1
HG02015	HG02015	haplotype1-0000078	HG02015_chrY_random0000078	0	auto	256	no-match	-1
HG02015	HG02015	haplotype1-0000079	HG02015_chrY_random0000079	0	auto	257	no-match	-1
HG02015	HG02015	haplotype1-0000080	HG02015_chrY_random0000080	0	auto	258	no-match	-1
HG02015	HG02015	haplotype1-0000082	HG02015_chrY_random0000082	0	auto	259	no-match	-1
HG02015	HG02015	haplotype1-0000098	HG02015_chrY_random0000098	0	auto	260	no-match	-1
HG02015	HG02015	haplotype1-0000099	HG02015_chrY_random0000099	0	auto	261	no-match	-1
HG02015	HG02015	haplotype2-0000141	HG02015_chrY_random0000141	0	auto	262	no-match	-1
HG02015	HG02015	haplotype2-0000142	HG02015_chrY_random0000142	0	auto	263	no-match	-1
HG02015	HG02015	haplotype2-0000143	HG02015_chrY_random0000143	0	auto	264	no-match	-1
HG02015	HG02015	haplotype2-0000144	HG02015_chrY_random0000144	0	auto	265	no-match	-1
HG02015	HG02015	haplotype2-0000145	HG02015_chrY_random0000145	0	auto	266	no-match	-1
HG02015	HG02015	haplotype2-0000146	HG02015_chrY_random0000146	0	auto	267	no-match	-1
HG02015	HG02015	haplotype2-0000147	HG02015_chrY_random0000147	0	auto	268	no-match	-1
HG02015	HG02015	haplotype2-0000148	HG02015_chrY_random0000148	0	auto	269	no-match	-1
HG02015	HG02015	haplotype2-0000149	HG02015_chrY_random0000149	0	auto	270	no-match	-1
HG02015	HG02015	haplotype2-0000150	HG02015_chrY_random0000150	0	auto	271	no-match	-1
HG02015	HG02015	haplotype2-0000151	HG02015_chrY_random0000151	0	auto	272	no-match	-1
HG02015	HG02015	haplotype2-0000156	HG02015_chrY_random0000156	0	auto	273	no-match	-1
HG02015	HG02015	haplotype2-0000157	HG02015_chrY_random0000157	0	auto	274	no-match	-1
HG02015	HG02015	haplotype2-0000158	HG02015_chrY_random0000158	0	auto	275	no-match	-1
HG02015	HG02015	haplotype2-0000159	HG02015_chrY_random0000159	0	auto	276	no-match	-1
HG02015	HG02015	haplotype2-0000161	HG02015_chrY_random0000161	0	auto	277	no-match	-1
HG02015	HG02015	haplotype2-0000162	HG02015_chrY_random0000162	0	auto	278	no-match	-1
HG02015	HG02015	haplotype2-0000165	HG02015_chrY_random0000165	0	auto	279	no-match	-1
HG02015	HG02015	haplotype2-0000167	HG02015_chrY_random0000167	0	auto	280	no-match	-1
HG02015	HG02015	haplotype2-0000168	HG02015_chrY_random0000168	0	auto	281	no-match	-1
HG02015	HG02015	haplotype2-0000169	HG02015_chrY_random0000169	0	auto	282	no-match	-1
HG02015	HG02015	haplotype2-0000172	HG02015_chrY_random0000172	0	auto	283	no-match	-1
HG02015	HG02015	haplotype2-0000173	HG02015_chrY_random0000173	0	auto	284	no-match	-1
HG02015	HG02015	haplotype2-0000174	HG02015_chrY_random0000174	0	auto	285	no-match	-1
HG02015	HG02015	haplotype2-0000175	HG02015_chrY_random0000175	0	auto	286	no-match	-1
HG02015	HG02015	haplotype2-0000176	HG02015_chrY_random0000176	0	auto	287	no-match	-1
HG02015	HG02015	haplotype2-0000178	HG02015_chrY_random0000178	0	auto	288	no-match	-1
HG02015	HG02015	haplotype2-0000179	HG02015_chrY_random0000179	0	auto	289	no-match	-1
HG02015	HG02015	haplotype2-0000180	HG02015_chrY_random0000180	0	auto	290	no-match	-1
HG02015	HG02015	haplotype2-0000182	HG02015_chrY_random0000182	0	auto	291	no-match	-1
HG02015	HG02015	haplotype2-0000183	HG02015_chrY_random0000183	0	auto	292	no-match	-1
HG02015	HG02015	haplotype2-0000185	HG02015_chrY_random0000185	0	auto	293	no-match	-1
HG02015	HG02015	haplotype2-0000189	HG02015_chrY_random0000189	0	auto	294	no-match	-1
HG02015	HG02015	haplotype2-0000190	HG02015_chrY_random0000190	0	auto	295	no-match	-1
HG02015	HG02015	haplotype2-0000191	HG02015_chrY_random0000191	0	auto	296	no-match	-1
HG02015	HG02015	haplotype2-0000192	HG02015_chrY_random0000192	0	auto	297	no-match	-1
HG02015	HG02015	haplotype2-0000193	HG02015_chrY_random0000193	0	auto	298	no-match	-1
HG02015	HG02015	haplotype2-0000194	HG02015_chrY_random0000194	0	auto	299	no-match	-1
HG02015	HG02015	haplotype2-0000195	HG02015_chrY_random0000195	0	auto	300	no-match	-1
HG02015	HG02015	haplotype2-0000196	HG02015_chrY_random0000196	0	auto	301	no-match	-1
HG02015	HG02015	haplotype2-0000197	HG02015_chrY_random0000197	0	auto	302	no-match	-1
HG02015	HG02015	haplotype2-0000202	HG02015_chrY_random0000202	0	auto	303	no-match	-1
HG02015	HG02015	haplotype2-0000203	HG02015_chrY_random0000203	0	auto	304	no-match	-1
HG02015	HG02015	haplotype2-0000204	HG02015_chrY_random0000204	0	auto	305	no-match	-1
HG02015	HG02015	haplotype2-0000205	HG02015_chrY_random0000205	0	auto	306	no-match	-1
HG02015	HG02015	unassigned-0000648	HG02015_chrY_random0000648	0	auto	307	no-match	-1
HG02015	HG02015	unassigned-0000649	HG02015_chrY_random0000649	0	auto	308	no-match	-1
HG02015	HG02015	unassigned-0000650	HG02015_chrY_random0000650	0	auto	309	no-match	-1
HG02015	HG02015	unassigned-0000678	HG02015_chrY_random0000678	0	auto	310	no-match	-1
